Task	prune_pct	mean_latency	std_latency	age_r2	gender_f1	ethnicity_f1
ALL	0.0	0.12199989954630534	0.0096273556946105	-0.33044050064251707	0.4	0.2222222222222222
ALL	0.1	0.09733311335245769	0.006128039394255904	-0.4177199872472117	1.0	0.2222222222222222
ALL	0.2	0.07333413759867351	0.006648485345902098	-0.7060011087174549	0.0	0.16666666666666666
ALL	0.3	0.05866718292236328	0.003299906591530738	-1.085922269017856	1.0	0.16666666666666666
ALL	0.4	0.05566755930582682	0.0016992073380367881	-1.4279338405920154	1.0	0.16666666666666666
ALL	0.5	0.04466684659322103	0.0036811388129918965	-1.6488322297324371	1.0	0.16666666666666666
ALL	0.6	0.03633364041646322	0.0009427969083140529	-1.3247545174852045	1.0	0.16666666666666666
ALL	0.7	0.03933310508728027	0.0026238129172010682	-1.3665619470645747	1.0	0.16666666666666666
ALL	0.8	0.040827433268229164	0.006873460366089469	-1.8419616075622853	1.0	0.16666666666666666
ALL	0.9	0.04433361689249674	0.01887490905029877	-1.8627234254490994	0.0	0.16666666666666666
AGE	0.0	0.11133329073588054	0.0024950647667605938	0.7207869547489653	0.0	0.0
AGE	0.1	0.0906664530436198	0.0040288042058587055	-0.15203086037357738	0.0	0.0
AGE	0.2	0.07800022761027019	0.005098151201661825	0.2615454305067948	0.0	0.0
AGE	0.3	0.06066759427388509	0.008731715629414948	0.09032074576062721	0.0	0.0
AGE	0.4	0.05066704750061035	0.004643623578150486	0.056929573899468955	0.0	0.0
AGE	0.5	0.0429996649424235	0.001415684556966124	-0.003977377007898353	0.0	0.0
AGE	0.6	0.04566693305969238	0.0033983518435062466	-0.016123766131843853	0.0	0.0
AGE	0.7	0.05899977684020996	0.019950487251643965	-1.3931174334902998	0.0	0.0
AGE	0.8	0.0366666316986084	0.001247128731420033	-1.741946612913202	0.0	0.0
AGE	0.9	0.05233335494995117	0.017326482510361584	-1.8575162812906516	0.0	0.0
GENDER	0.0	0.11833373705546062	0.013815962560271984	0.0	0.0	0.0
GENDER	0.1	0.09266622861226399	0.004189903216796906	0.0	1.0	0.0
GENDER	0.2	0.08333412806193034	0.01782046638729794	0.0	1.0	0.0
GENDER	0.3	0.05833331743876139	0.0024927079518896854	0.0	1.0	0.0
GENDER	0.4	0.05066696802775065	0.0016994410351000718	0.0	1.0	0.0
GENDER	0.5	0.04666638374328613	0.003399801326389797	0.0	1.0	0.0
GENDER	0.6	0.04600008328755697	0.005657905550028573	0.0	1.0	0.0
GENDER	0.7	0.03999956448872884	0.0014138304876505155	0.0	1.0	0.0
GENDER	0.8	0.04200045267740885	0.0028276601711957664	0.0	1.0	0.0
GENDER	0.9	0.07400059700012207	0.047391565980928405	0.0	0.0	0.0
ETHNICITY	0.0	0.11833413441975911	0.005249634394073595	0.0	0.0	0.0
ETHNICITY	0.1	0.09099952379862468	0.007117625582386656	0.0	0.0	0.16666666666666666
ETHNICITY	0.2	0.07266577084859212	0.00403017881461571	0.0	0.0	0.16666666666666666
ETHNICITY	0.3	0.08800109227498372	0.03518696553670163	0.0	0.0	0.16666666666666666
ETHNICITY	0.4	0.046668052673339844	0.0030916762707001075	0.0	0.0	0.16666666666666666
ETHNICITY	0.5	0.0409998893737793	0.0008162428035551752	0.0	0.0	0.16666666666666666
ETHNICITY	0.6	0.040334065755208336	0.0036815129591493503	0.0	0.0	0.16666666666666666
ETHNICITY	0.7	0.04300045967102051	0.0029457587599552356	0.0	0.0	0.16666666666666666
ETHNICITY	0.8	0.0323332945505778	0.003300491614730009	0.0	0.0	0.16666666666666666
ETHNICITY	0.9	0.06833338737487793	0.041611110047252445	0.0	0.0	0.16666666666666666
