Task	prune_pct	mean_latency	std_latency	age_r2	gender_f1	ethnicity_f1
AGE	0.0	0.09584805989029384	0.006996722152256308	0.8482081785606859	0.0	0.0
AGE	0.1	0.08190272114064434	0.0068521802296682135	0.8527610483604406	0.0	0.0
AGE	0.2	0.06554331637845182	0.007910481933998478	0.8430710383738379	0.0	0.0
AGE	0.3	0.05304952659229241	0.005853722450207405	0.8430934297642657	0.0	0.0
AGE	0.4	0.04129459126160877	0.005724171015896449	0.8306578103499436	0.0	0.0
AGE	0.5	0.037475255456301246	0.0058521065900469784	0.819931031006343	0.0	0.0
AGE	0.6	0.033603951482489555	0.005665747565580365	0.7947037227368334	0.0	0.0
AGE	0.7	0.03370297073137642	0.005592669425395276	0.7721230497550696	0.0	0.0
AGE	0.8	0.03265021815158353	0.005491204340639159	0.7366175034746312	0.0	0.0
AGE	0.9	0.031801976779899974	0.00601501376591585	0.6206655355077391	0.0	0.0
GENDER	0.0	0.08673935361427836	0.006736511156129413	0.0	0.914944479775982	0.0
GENDER	0.1	0.07084158387514625	0.007036950110135147	0.0	0.9038162151773035	0.0
GENDER	0.2	0.05582225204694389	0.006100721748283512	0.0	0.9163265006122832	0.0
GENDER	0.3	0.045379907777993986	0.0056624649951494115	0.0	0.9209024592702986	0.0
GENDER	0.4	0.03901983251666079	0.005187513592125927	0.0	0.9155346119242109	0.0
GENDER	0.5	0.033851696713135974	0.005349839103974524	0.0	0.9113014398816384	0.0
GENDER	0.6	0.0319802194538683	0.004585914296718783	0.0	0.9070212129598545	0.0
GENDER	0.7	0.03103962983235274	0.005172139131973124	0.0	0.8908611524027574	0.0
GENDER	0.8	0.02940594795906898	0.004376344408193189	0.0	0.8818269777115473	0.0
GENDER	0.9	0.02981187093375933	0.00507121377293231	0.0	0.8581653640477169	0.0
ETHNICITY	0.0	0.08654526436682974	0.005344755048688661	0.0	0.0	0.7064147986679309
ETHNICITY	0.1	0.07200045396785924	0.005561689231602924	0.0	0.0	0.7242931395207182
ETHNICITY	0.2	0.05578292714487208	0.004761419010577026	0.0	0.0	0.678992354682263
ETHNICITY	0.3	0.04732686458247723	0.0067837508309175655	0.0	0.0	0.6899256337524726
ETHNICITY	0.4	0.03905939347673171	0.005447663659159981	0.0	0.0	0.6823584305336772
ETHNICITY	0.5	0.03388120632360477	0.005364630604371296	0.0	0.0	0.6762443600006124
ETHNICITY	0.6	0.033188118792996546	0.00548944452117117	0.0	0.0	0.669661412261643
ETHNICITY	0.7	0.031168314489987817	0.005473780696653377	0.0	0.0	0.6860462380173737
ETHNICITY	0.8	0.03086164682218344	0.004755453161627777	0.0	0.0	0.61041859918036
ETHNICITY	0.9	0.029406207622868	0.0044816662771143346	0.0	0.0	0.45805750007362117
